org_list,0,1,total,prop_0,prop_1,diff
Confession,3,0,3,0.002638522427440633,0.0,0.002638522427440633
Peate,3,0,3,0.002638522427440633,0.0,0.002638522427440633
State,3,0,3,0.002638522427440633,0.0,0.002638522427440633
Royal,3,0,3,0.002638522427440633,0.0,0.002638522427440633
the Societies of Merchants,3,0,3,0.002638522427440633,0.0,0.002638522427440633
Merchants,13,6,19,0.011433597185576077,0.008902077151335312,0.0025315200342407654
Trades,6,2,8,0.005277044854881266,0.002967359050445104,0.0023096858044361623
WHEAT,6,2,8,0.005277044854881266,0.002967359050445104,0.0023096858044361623
the West-Indies,2,0,2,0.001759014951627089,0.0,0.001759014951627089
the firſt Exchange,2,0,2,0.001759014951627089,0.0,0.001759014951627089
this Trade for England,2,0,2,0.001759014951627089,0.0,0.001759014951627089
the Fruits of the Earth,2,0,2,0.001759014951627089,0.0,0.001759014951627089
the English Merchants,2,0,2,0.001759014951627089,0.0,0.001759014951627089
the Sugar-Bakers,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Account,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Suetornius & Di●n.,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Strength,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Tenpence,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Territory,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Sugar-Bakers,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Considerations,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Constable,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Usurers,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Treasury,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Traffic and Commerce,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Ware,2,0,2,0.001759014951627089,0.0,0.001759014951627089
fed,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Brazeil-Fleets,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Bills of Exchanges for,2,0,2,0.001759014951627089,0.0,0.001759014951627089
Bills of Exchange,2,0,2,0.001759014951627089,0.0,0.001759014951627089
the Cloth Trade,2,0,2,0.001759014951627089,0.0,0.001759014951627089
"house, & finding",2,0,2,0.001759014951627089,0.0,0.001759014951627089
Younger,2,0,2,0.001759014951627089,0.0,0.001759014951627089
