entity,label,count
Suit of Mill,ORG,1
Tolle,GPE,1
Milles,PERSON,1
the Publike Liberty,ORG,1
the Setting of the Price,ORG,1
Deare,ORG,1
Greater,LOC,1
Aristotle of Thales Milesius,ORG,1
Astrologie,PERSON,1
the Ilands of Melazo & Chius,ORG,1
Specie,GPE,1
Bengal,GPE,1
the Trade of Bengal,ORG,1
Banckes,ORG,1
Banck,PERSON,1
Quantities,LOC,1
Lesse,GPE,1
Edward I.,PERSON,1
Sovereign King,PERSON,1
taken complexly,PERSON,1
james Laureate,PERSON,1
Broker of Exchange,ORG,1
3:18s,MONEY,1
3:19s,MONEY,1
3:17:7,MONEY,1
Protested Bills,GPE,1
Locke,PERSON,1
tenpence halfpenny,PERSON,1
Change,ORG,1
Trade and Traine,ORG,1
Money for Wares,ORG,1
the Notaries Protest,ORG,1
Letters of Advice,ORG,1
Acquittances,PERSON,1
Forreine,GPE,1
The French Company The French Company,ORG,1
Order,PERSON,1
Notary,PERSON,1
Highland,LOC,1
hath,PERSON,1
Appendix,PERSON,1
Leith,ORG,1
seven-pence,MONEY,1
Lerwick,ORG,1
Isocrates,GPE,1
Usance,ORG,1
forty per cent,MONEY,1
a thousand per cent,MONEY,1
the united kingdom,GPE,1
Eighteen pence,MONEY,1
seven pence,MONEY,1
The Running Lotaries,ORG,1
Lotaries,ORG,1
Carbuncles,PERSON,1
Letters Patents,ORG,1
Occidental,ORG,1
Oriental Pearls,ORG,1
s. d.,PERSON,1
Barocos,PERSON,1
Carrat,ORG,1
Table,ORG,1
the Island of Zeilan,LOC,1
the Indians Manecas,ORG,1
halfpenny dearer,PERSON,1
3 pro cent,MONEY,1
Havens,PERSON,1
Ports,ORG,1
Bills of Entries,ORG,1
Customhouse,GPE,1
Variations,ORG,1
First Period.—In 1350,ORG,1
the Bills of Entries,ORG,1
Rouen and Calais,ORG,1
Herrings,GPE,1
muscovada,GPE,1
Flanders,ORG,1
Locatio,ORG,1
Kerseys and Tin,ORG,1
Tripoli,GPE,1
Assuror,GPE,1
Frezier,ORG,1
"Accizes, Imposts",ORG,1
Princes and Commonweals,ORG,1
Carratt,PERSON,1
Yellow Pearl,PERSON,1
Pearl,GPE,1
Quod,PERSON,1
Prerogatives,ORG,1
two penny,MONEY,1
"Dupré de
      ",PERSON,1
the Owners or Partners,ORG,1
Partenership,GPE,1
Vsura,PERSON,1
Philip,GPE,1
Equal Exchange,ORG,1
the Exchanges of England,GPE,1
Henry III,PERSON,1
Seville,GPE,1
Tower,PERSON,1
Leghorn,ORG,1
Civita Vecchia,PERSON,1
Wardhouse,ORG,1
Ralph de Born,PERSON,1
St Augustine’s,PERSON,1
Canterbury,GPE,1
William Thorn,PERSON,1
Bourdeaux,GPE,1
Bishop Fleetwood,ORG,1
Rochel,GPE,1
fidelity,ORG,1
Lubeck,GPE,1
Mr Byron,ORG,1
Chili,GPE,1
Denmark,GPE,1
Biscay,GPE,1
"Dansicke, Riga, Revel",GPE,1
Sweaden,GPE,1
twenty shillings nine pence,MONEY,1
Efficient,ORG,1
the Essay on the Policy of Grain,ORG,1
Conquest,ORG,1
Julius Caesar,ORG,1
Mr Ruffhead,PERSON,1
the States of the United Provinces,ORG,1
the Archduke Albertus,ORG,1
"Money and Bullion, Enhancing of Silver",ORG,1
two marks,MONEY,1
Saint Andrew's Cross,PERSON,1
Maxim,ORG,1
Compass,PERSON,1
Kingdoms,GPE,1
West-Indies Fleet,ORG,1
Vintner,PERSON,1
the Base Money,ORG,1
2:1:6,MONEY,1
the Silver Bullion,ORG,1
1:16:10,MONEY,1
Barrel,ORG,1
Butt,GPE,1
Pipe,ORG,1
the Valuation of Moneys,ORG,1
Inuoice,ORG,1
Cargasson,PERSON,1
Invoice,GPE,1
Maluidies,ORG,1
Conditions,ORG,1
the West-Indies Fleet,ORG,1
permitteth,PERSON,1
Monsieur Malestroit,ORG,1
dearer,PERSON,1
King,LOC,1
4:5s,MONEY,1
Politician,PERSON,1
cutteth,PERSON,1
the royal Exchange,ORG,1
Cravo di Bastao,PERSON,1
13 ½ pence,MONEY,1
The Flat Diamonds,ORG,1
Henry the,PERSON,1
Diamond,ORG,1
That Saint Lewis,PERSON,1
Values of Gold,ORG,1
the Value of Silver,ORG,1
only £ 1:6:8,MONEY,1
"no less than £ 324,176:10:6",MONEY,1
"the Corn Trade, Tract",ORG,1
Philip de Valois,ORG,1
the Essay on the Police of Grain,ORG,1
the Flower de Luce,ORG,1
Artificers,PERSON,1
Husbandman,ORG,1
The Fertility of France,ORG,1
Gregory King,PERSON,1
Plato,PERSON,1
Charles I.,PERSON,1
Mr King,PERSON,1
twenty-pence,MONEY,1
King Francis,PERSON,1
Pope Paul,PERSON,1
Burcester Oxford,PERSON,1
the King of England,ORG,1
Imposts,PERSON,1
twenty-eight pounds,MONEY,1
Smith,PERSON,1
Lib,PERSON,1
Bank at Lions,ORG,1
Assurors,ORG,1
"Cables, Anchors",ORG,1
Aueridges,ORG,1
the Union with England,ORG,1
Buffon,PERSON,1
Pirates,GPE,1
Sicily,GPE,1
Agrippina,GPE,1
Asinius Celer,PERSON,1
compelleth us,PERSON,1
Parity,ORG,1
Policy,GPE,1
Blood,GPE,1
Money and Bullion,ORG,1
Paulus Aemilius,ORG,1
The Basis of Exchange,ORG,1
Basis,ORG,1
Miller,PERSON,1
Columbus,GPE,1
the King and Commonwealth,ORG,1
Prerogative Royal,ORG,1
Sheffield,GPE,1
Office of the King's,ORG,1
Boters,ORG,1
considerandus & inspiciendus,ORG,1
Plare,ORG,1
